id, name, price, link
product-23004468, PUMA ñ CA Pro Heritage ñ Sneaker in Weiﬂ und Gr¸n, 90.00 Ä, https://www.asos.com/de/puma/puma-ca-pro-heritage-sneaker-in-wei-und-grun/prd/23004468?clr=puma-wei&colourwayid=60443330&cid=5775
product-21994037, Reebok ñ Ad Court ñ Sneaker in Weiﬂ und Gr¸n, 99.95 Ä, https://www.asos.com/de/reebok/reebok-ad-court-sneaker-in-wei-und-grun/prd/21994037?clr=wei&colourwayid=60342069&cid=5775
product-22496974, New Balance ñ 527 ñ Rote Sneaker, 89.99 Ä, https://www.asos.com/de/new-balance/new-balance-527-rote-sneaker/prd/22496974?clr=rain-cloud&colourwayid=60402781&cid=5775
product-21925294, Under Armour ñ Training Charged Engage ñ Schwarze Sneaker, 70.00 Ä, https://www.asos.com/de/under-armour/under-armour-training-charged-engage-schwarze-sneaker/prd/21925294?clr=schwarz&colourwayid=60309826&cid=5775
product-13987331, Reebok ñ Klassische, graue Sneaker aus Nylon, 69.95 Ä, https://www.asos.com/de/reebok/reebok-klassische-graue-sneaker-aus-nylon/prd/13987331?clr=gy1-grau-1&colourwayid=16582590&cid=5775
product-20983387, Nike Running ñ Quest 3 ñ Schwarze Sneaker, 74.99 Ä, https://www.asos.com/de/nike-running/nike-running-quest-3-schwarze-sneaker/prd/20983387?clr=schwarz&colourwayid=60131647&cid=5775
product-23569742, Vans ñ Sk8-Hi ñ Sneaker in Grau/Burgunder, 90.00 Ä, https://www.asos.com/de/vans/vans-sk8-hi-sneaker-in-grau-burgunder/prd/23569742?clr=grau&colourwayid=60494470&cid=5775
product-23574640, Vans ñ Sk8-Hi ñ Sneaker in Khaki, 100.00 Ä, https://www.asos.com/de/vans/vans-sk8-hi-sneaker-in-khaki/prd/23574640?clr=grun&colourwayid=60494867&cid=5775
product-23575233, Vans ñ Classic ñ Sneaker zum Hineinschl¸pfen mit Schachbrettmuster in Blau, 70.00 Ä, https://www.asos.com/de/vans/vans-classic-sneaker-zum-hineinschlupfen-mit-schachbrettmuster-in-blau/prd/23575233?clr=blau&colourwayid=60494913&cid=5775
product-23575783, Vans ñ Era ñ Sneakers in Schwarz/Rot, 75.00 Ä, https://www.asos.com/de/vans/vans-era-sneakers-in-schwarz-rot/prd/23575783?clr=schwarz&colourwayid=60494949&cid=5775
product-22298244, Vans ñ Old Skool Gore-Tex ñ Sneaker in Schwarz, 120.00 Ä, https://www.asos.com/de/vans/vans-old-skool-gore-tex-sneaker-in-schwarz/prd/22298244?clr=text-schwarz-zitronengelb&colourwayid=60388054&cid=5775
product-21396621, Nike ñ Air Max 95 Revival ñ Sneaker in Schwarz, 169.99 Ä, https://www.asos.com/de/nike/nike-air-max-95-revival-sneaker-in-schwarz/prd/21396621?clr=schwarz&colourwayid=60163742&cid=5775
product-22724913, Nike ñ Air Zoom Type in 3M, 202.99 Ä, https://www.asos.com/de/nike/nike-air-zoom-type-in-3m/prd/22724913?clr=schwarz-3m&colourwayid=60419951&cid=5775
product-22795391, Nike ñ Exosense ñ Sneaker in Triple-Schwarz, 124.99 Ä, https://www.asos.com/de/nike/nike-exosense-sneaker-in-triple-schwarz/prd/22795391?clr=schwarz&colourwayid=60426762&cid=5775
product-21397432, Nike ñ Dbreak-Type SE ñ Sneaker in Stadion-Gr¸n, 99.99 Ä, https://www.asos.com/de/nike/nike-dbreak-type-se-sneaker-in-stadion-grun/prd/21397432?clr=grun&colourwayid=60163795&cid=5775
product-22433915, Nike SB ñ Adversary ñ Sneaker in Summit-Weiﬂ/Gummi, 84.99 Ä, https://www.asos.com/de/nike-sb/nike-sb-adversary-sneaker-in-summit-wei-gummi/prd/22433915?clr=wei-gummi&colourwayid=60397848&cid=5775
product-21934550, New Balance ñ 530 ñ Sneaker in Weiﬂ/Schwarz, 100.00 Ä, https://www.asos.com/de/new-balance/new-balance-530-sneaker-in-wei-schwarz/prd/21934550?clr=wei&colourwayid=60310524&cid=5775
product-22990613, Emporio Armani ñ Weiﬂe Sneaker mit groﬂem Adlerlogo, 180.00 Ä, https://www.asos.com/de/emporio-armani/emporio-armani-weie-sneaker-mit-groem-adlerlogo/prd/22990613?clr=wei&colourwayid=60442353&cid=5775
product-22990602, Emporio Armani ñ Sneaker aus Leder in Weiﬂ mit gummiertem Logoprint in Kontrastfarbe, 190.00 Ä, https://www.asos.com/de/emporio-armani/emporio-armani-sneaker-aus-leder-in-wei-mit-gummiertem-logoprint-in-kontrastfarbe/prd/22990602?clr=wei&colourwayid=60442342&cid=5775
